"Source:","C:\Users\Sergio\Documents\EOS\CM4IO\CM4IOv5.kicad_sch"
"Date:","12/08/2022 17:57:32"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","124"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","Field4","Field5","Field6","Field7","Field8","Part Description"
"","","BT1","Battery_Cell","Device:Battery_Cell","EOS:BatteryHolder_Keystone_3034_1x20mm","https://www.keyelco.com/userAssets/file/M65p9.pdf","C964845","Digikey","36-3034-ND","3034","Keystone","","	Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab"
"","","C1","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C2","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C3","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C4","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C5","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C6","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C7","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C8","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","C88884","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C9","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","C88884","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C10","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C11","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C12","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C13","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C14","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C15","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C16","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","C427183","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C17","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C18","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","C427183","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C19","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C20","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C21","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C22","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C23","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C24","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C25","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C26","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C27","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C28","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C29","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C30","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C31","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C32","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C33","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C34","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C35","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C36","100n 100v","Device:C","Capacitor_SMD:C_0402_1005Metric","https://psearch.en.murata.com/capacitor/product/GRM155R62A104KE14%23.pdf","C105882","Farnell","2611907","GRM155R62A104KE14D","Murata","","	0.1uF 10% 100V Ceramic Capacitor X5R 0402 (1005 Metric)"
"","","C37","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C38","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C39","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C40","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C41","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C42","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C43","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C44","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","C469541","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C45","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","C427183","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C46","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C47","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C49","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C51","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C52","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","C117956","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C57","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C58","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C60","1.2nF","Device:C","Capacitor_SMD:C_0402_1005Metric","http://www.farnell.com/datasheets/2734135.pdf?_ga=2.259347658.1738794919.1588350964-1787849031.1568210898&_gac=1.15394434.1588350964.EAIaIQobChMIgrHHs4yT6QIVxevtCh39TA_nEAAYASAAEgK8PfD_BwE","C16529","Digikey","490-16429-1-ND","GCM155R71H122KA37D","Murata","","1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"","","C62","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","C60474","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C64","1.2nF","Device:C","Capacitor_SMD:C_0402_1005Metric","http://www.farnell.com/datasheets/2734135.pdf?_ga=2.259347658.1738794919.1588350964-1787849031.1568210898&_gac=1.15394434.1588350964.EAIaIQobChMIgrHHs4yT6QIVxevtCh39TA_nEAAYASAAEgK8PfD_BwE","C16529","Digikey","490-16429-1-ND","GCM155R71H122KA37D","Murata","","1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"","","D1","LED Red","Device:LED","LED_SMD:LED_0603_1608Metric","http://optoelectronics.liteon.com/upload/download/DS22-2000-210/LTST-S270KRKT.pdf","C125114","Digikey ","	LTST-S270KRKT","SML-A12U8TT86Q","Rohm","650295101","	Red 620nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"","","D2","LED Green","Device:LED","LED_SMD:LED_0603_1608Metric","http://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf","C125113","Digikey ","LTST-S270KGKT","SML-A12M8TT86N","Rohm","650263301","	Green 572nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"","","D3","BAT54C-7-F","Diode:BAT54C","Package_TO_SOT_SMD:SOT-23","http://www.farnell.com/datasheets/2861240.pdf?_ga=2.129831176.54358802.1587372871-1787849031.1568210898&_gac=1.175311126.1587399424.EAIaIQobChMInOvF07P36AIVw7HtCh0NWwCeEAAYAyAAEgI0YfD_BwE","C134405","Farnell","2306010","BAT54C-7-F","Rohm","","Diode Array 1 Pair Common Cathode Schottky 30V 200mA (DC) Surface Mount TO-236-3, SC-59, SOT-23-3"
